64,1329,2382568
60,1309.2,2288500
56,1321.8,2257292
52,1348.8,2171904
48,1371,2092228
44,1416.6,1989692
40,1485.6,1901592
36,1560,1857692
32,1659.6,1793696
28,1799.4,1741772
24,1960.8,1738816
20,2220,1732880
16,2566.8,1704976
12,3236.4,1573296
8,4014.6,1129548
4,7177.2,844708
2,14244.6,736856
1,28218,596212
