program	coverage	svtype	TR	mean	std
svjedi	8x	TOT	within	0.7118168224438912	0.008434696946756534
svjedi	8x	DEL	all	0.8674369240866975	0.0066739045289056975
svjedi	8x	DEL	outside	0.954282489113557	0.006463391224031096
svjedi	8x	DEL	within	0.8262669034748552	0.010638050299273859
svjedi	8x	INS	all	0.6778347652114649	0.00784267732451682
svjedi	8x	INS	outside	0.7855137388264081	0.00817606518901033
svjedi	8x	INS	within	0.6356867133643063	0.009713780291474752
sniffles	32x	TOT	all	0.8043339491297938	0.00319844698972802
sniffles	32x	TOT	outside	0.8293544699912327	0.005538919801605946
sniffles	32x	TOT	within	0.7876420614740076	0.003977708339410026
sniffles	32x	DEL	all	0.90501464622078	0.003722407248860723
sniffles	32x	DEL	outside	0.9613468436813305	0.004868388136638347
sniffles	32x	DEL	within	0.879584310359834	0.006237102123929994
sniffles	32x	INS	all	0.7331285647426343	0.004317167849764139
sniffles	32x	INS	outside	0.7666200705348094	0.0085302372939846
sniffles	32x	INS	within	0.7261188261584902	0.004787534526767406
sniffles	16x	TOT	all	0.8000175478876735	0.004183358824563694
sniffles	16x	TOT	outside	0.8255800188950916	0.005954158289882268
sniffles	16x	TOT	within	0.7831099503480947	0.004927210921186917
sniffles	16x	DEL	all	0.8984124158232932	0.004756761794033169
sniffles	16x	DEL	outside	0.9561840455104335	0.006250628083159125
sniffles	16x	DEL	within	0.8725738079596477	0.006151000944612732
sniffles	16x	INS	all	0.7302021330034788	0.005148703669514512
sniffles	16x	INS	outside	0.7633222538139178	0.008619286154057432
sniffles	16x	INS	within	0.7230026249240665	0.006003574053782618
sniffles	8x	TOT	all	0.7759521221942984	0.007368946050286282
sniffles	8x	TOT	outside	0.8068263270454431	0.007751331910790841
sniffles	8x	TOT	within	0.756898957458817	0.008390963164300463
sniffles	8x	DEL	all	0.8710706489702797	0.00880521576030216
sniffles	8x	DEL	outside	0.9353040120736157	0.009216190023894162
sniffles	8x	DEL	within	0.8424660514122407	0.010363546217349412
sniffles	8x	INS	all	0.7083435705376933	0.007086110499435093
sniffles	8x	INS	outside	0.7453513500075084	0.010298902288604113
sniffles	8x	INS	within	0.6992641080951923	0.008025951816230132
cutesv	32x	TOT	all	0.7811575306546775	0.008532099518222754
cutesv	32x	TOT	outside	0.8520286650891965	0.005694001612519832
cutesv	32x	TOT	within	0.7429036462327158	0.011856538527815833
cutesv	32x	DEL	all	0.8906899596235146	0.006484126770527533
cutesv	32x	DEL	outside	0.9660777346767764	0.00448432043249233
cutesv	32x	DEL	within	0.8536744967514114	0.010606856727566309
cutesv	32x	INS	all	0.7052040291684839	0.011357973232840041
cutesv	32x	INS	outside	0.7977341615189806	0.008248948681711468
cutesv	32x	INS	within	0.6709323954793754	0.015002623765372038
cutesv	16x	TOT	all	0.7665198749325743	0.007870165513528057
cutesv	16x	TOT	outside	0.8381104858829436	0.007058214058663692
cutesv	16x	TOT	within	0.7275724395316405	0.010723155647477256
cutesv	16x	DEL	all	0.8791104175993776	0.006792390597815142
cutesv	16x	DEL	outside	0.956722524131305	0.007022868425031368
cutesv	16x	DEL	within	0.8408933189774297	0.01018922373199357
cutesv	16x	INS	all	0.6886866307266603	0.010098501220579474
cutesv	16x	INS	outside	0.7816512166885553	0.009158262113706678
cutesv	16x	INS	within	0.6541498686193754	0.013416645433390455
cutesv	8x	TOT	all	0.7289410059641338	0.010358808327302455
cutesv	8x	TOT	outside	0.8015292252429087	0.010785301149751863
cutesv	8x	TOT	within	0.6883932551814239	0.012027906384629083
cutesv	8x	DEL	all	0.8438827864664021	0.010160876996309959
cutesv	8x	DEL	outside	0.9265281653319682	0.010713252937680367
cutesv	8x	DEL	within	0.8023527314081398	0.012588365182219757
cutesv	8x	INS	all	0.6498284832567444	0.01204392700281013
cutesv	8x	INS	outside	0.7422551595885067	0.013377866571807786
cutesv	8x	INS	within	0.6148012550153746	0.013725203095936646
	32x	TOT	all	0.8053697102734518	0.0031002506736659066
	32x	TOT	outside	0.8282432754540708	0.00538474927851553
	32x	TOT	within	0.789839575554954	0.003662785266668882
	32x	DEL	all	0.903450644499115	0.0038612664846092797
	32x	DEL	outside	0.9610476354518254	0.005093020718112464
	32x	DEL	within	0.8780783842334002	0.0063073084141471265
	32x	INS	all	0.7361915385479454	0.004065317017186828
	32x	INS	outside	0.765261796854259	0.008295433391801424
	32x	INS	within	0.7310690420185249	0.004573276552670552
	16x	TOT	all	0.8053697102734518	0.0031002506736659066
	16x	TOT	outside	0.8282432754540708	0.00538474927851553
	16x	TOT	within	0.789839575554954	0.003662785266668882
	16x	DEL	all	0.903450644499115	0.0038612664846092797
	16x	DEL	outside	0.9610476354518254	0.005093020718112464
	16x	DEL	within	0.8780783842334002	0.0063073084141471265
	16x	INS	all	0.7361915385479454	0.004065317017186828
	16x	INS	outside	0.765261796854259	0.008295433391801424
	16x	INS	within	0.7310690420185249	0.004573276552670552
	8x	TOT	all	0.8053697102734518	0.0031002506736659066
	8x	TOT	outside	0.8282432754540708	0.00538474927851553
	8x	TOT	within	0.789839575554954	0.003662785266668882
	8x	DEL	all	0.903450644499115	0.0038612664846092797
	8x	DEL	outside	0.9610476354518254	0.005093020718112464
	8x	DEL	within	0.8780783842334002	0.0063073084141471265
	8x	INS	all	0.7361915385479454	0.004065317017186828
	8x	INS	outside	0.765261796854259	0.008295433391801424
	8x	INS	within	0.7310690420185249	0.004573276552670552
