program	coverage	svtype	TR	mean	std
kanpig	32x	TOT	all	0.8661941010751752	0.014267813892364912
kanpig	32x	TOT	outside	0.8772345805871525	0.007070751277635454
kanpig	32x	TOT	within	0.862047057845189	0.01876424084535242
kanpig	32x	DEL	all	0.9203445139557704	0.012501107544963759
kanpig	32x	DEL	outside	0.9751998023300458	0.00709797652012812
kanpig	32x	DEL	within	0.8992386915781367	0.016445778520638738
kanpig	32x	INS	all	0.8320482875097811	0.01490124116200401
kanpig	32x	INS	outside	0.8328444287830654	0.007892759996744792
kanpig	32x	INS	within	0.8401152177792494	0.019782084856184233
kanpig	16x	TOT	all	0.8620403368285928	0.01259957886389973
kanpig	16x	TOT	outside	0.8705026781783792	0.005228270864779134
kanpig	16x	TOT	within	0.8592672723323481	0.017243995739160432
kanpig	16x	DEL	all	0.9157355497713624	0.01032287899664098
kanpig	16x	DEL	outside	0.9668073525238202	0.005809200487124357
kanpig	16x	DEL	within	0.8971200099206696	0.014267453121094096
kanpig	16x	INS	all	0.8280218476849911	0.013597766716656613
kanpig	16x	INS	outside	0.826788679581745	0.006103163484699863
kanpig	16x	INS	within	0.8368342486605136	0.018662514398407902
kanpig	8x	TOT	all	0.8505982836723953	0.011636811532826875
kanpig	8x	TOT	outside	0.8572147546130057	0.005042633215512975
kanpig	8x	TOT	within	0.848659786796693	0.016477673723526178
kanpig	8x	DEL	all	0.9050115624399611	0.009924915583746138
kanpig	8x	DEL	outside	0.9519749733765073	0.004625989740696255
kanpig	8x	DEL	within	0.8883370944507913	0.01370422930155732
kanpig	8x	INS	all	0.8156823142928481	0.012397355627818442
kanpig	8x	INS	outside	0.8138646268260621	0.00691434892552802
kanpig	8x	INS	within	0.8248088418326497	0.01779485583152605
svjedi	32x	TOT	all	0.42806879985134444	0.015563761896493621
svjedi	32x	TOT	outside	0.4708410937361708	0.015693401607241333
svjedi	32x	TOT	within	0.39910732438995067	0.015417537871197323
svjedi	32x	DEL	all	0.5178523182014259	0.01612992645550017
svjedi	32x	DEL	outside	0.9068327929502423	0.01009922896306929
svjedi	32x	DEL	within	0.4252429958355294	0.01628044551606279
svjedi	32x	INS	all	0.37777184888939297	0.014401820873710652
svjedi	32x	INS	outside	0.3717094719001302	0.015143341044740894
svjedi	32x	INS	within	0.382380271574829	0.015035262294587615
svjedi	16x	TOT	all	0.4366195570447143	0.013993168330737195
svjedi	16x	TOT	outside	0.48983568740825173	0.01324601447022468
svjedi	16x	TOT	within	0.4050600690136687	0.014183161194001585
svjedi	16x	DEL	all	0.5188467325984605	0.015797558680399372
svjedi	16x	DEL	outside	0.9089697349845024	0.009833801092738794
svjedi	16x	DEL	within	0.4257993977097849	0.01606641020762256
svjedi	16x	INS	all	0.38892327624882733	0.012484821669766588
svjedi	16x	INS	outside	0.3899241510780656	0.012937069879581152
svjedi	16x	INS	within	0.3913586815062625	0.013235553442480983
svjedi	8x	TOT	all	0.4557549115243721	0.012353459840657229
svjedi	8x	TOT	outside	0.5339232718668271	0.01277632890889735
svjedi	8x	TOT	within	0.4176705305516744	0.012607405318483178
svjedi	8x	DEL	all	0.5312243092607977	0.014139895599994288
svjedi	8x	DEL	outside	0.9097273105768606	0.009244357882566848
svjedi	8x	DEL	within	0.43708731307461024	0.014774577193766618
svjedi	8x	INS	all	0.40972188399641085	0.010996860471287022
svjedi	8x	INS	outside	0.43382115703031066	0.012975017182599241
svjedi	8x	INS	within	0.404419673248742	0.011554433228277589
sniffles	32x	TOT	all	0.12266332186052999	0.006645164572740697
sniffles	32x	TOT	outside	0.15427985056391746	0.006983544366925065
sniffles	32x	TOT	within	0.10572877750163001	0.005822926626888989
sniffles	32x	DEL	all	0.2786756544972284	0.008218128743483566
sniffles	32x	DEL	outside	0.8583052137516953	0.014765074268218258
sniffles	32x	DEL	within	0.20328660717154526	0.006067520389544647
sniffles	32x	INS	all	0.08480148551950761	0.0046448979068932725
sniffles	32x	INS	outside	0.10380702347677004	0.0050668575293820245
sniffles	32x	INS	within	0.07819986486369689	0.004424213243361125
sniffles	16x	TOT	all	0.122666077222101	0.006715439508613193
sniffles	16x	TOT	outside	0.15386568652530577	0.007011352188944523
sniffles	16x	TOT	within	0.10587839449435224	0.005969255348711479
sniffles	16x	DEL	all	0.2769638864234261	0.008953449669312889
sniffles	16x	DEL	outside	0.8540218876047017	0.01583719624638026
sniffles	16x	DEL	within	0.2024135359056409	0.0068244123409573155
sniffles	16x	INS	all	0.08517819128175268	0.004634076499545674
sniffles	16x	INS	outside	0.1034945223177213	0.0050938957403718265
sniffles	16x	INS	within	0.07865810026352606	0.004438771316330339
sniffles	8x	TOT	all	0.11893817996199818	0.006948520532684903
sniffles	8x	TOT	outside	0.15079208718253673	0.007071024350163517
sniffles	8x	TOT	within	0.102478753206853	0.006198011411090202
sniffles	8x	DEL	all	0.2658946535184205	0.009774316692478394
