program	coverage	gt_concordance	TP-base	TP-comp	FN	FP	precision	recall	f1
kanpig	32x	0.8492932808465271	21571.489361702126	20316.702127659573	1246.0212765957447	1022.7234042553191	0.9518642025011583	0.9453918374488745	0.9486039335359042
kanpig	16x	0.8461813250060405	21611.409090909092	20314.772727272728	1329.840909090909	932.2045454545455	0.9559440599498111	0.9419881383082149	0.9489067447696794
kanpig	8x	0.8345751029206288	21242.204545454544	19864.545454545456	1680.340909090909	799.5909090909091	0.9611240780756579	0.9265338859096764	0.9434975215483477
svjedi	32x	0.5543978189006802	22781.702127659573	21367.08510638298	751.1063829787234	8809.659574468085	0.7073121692648631	0.9680492083391292	0.8172784775985011
svjedi	16x	0.5566252045864495	22819.25	21372.113636363636	795.0	8628.40909090909	0.7116587974190918	0.9662767178697318	0.8195471344257809
svjedi	8x	0.5572117080770181	22465.386363636364	20939.340909090908	980.25	8002.045454545455	0.7227888901599978	0.9580638612712089	0.8238786965018005
sniffles	32x	0.33867930083195236	24040.936170212764	22542.808510638297	808.7446808510638	28567.36170212766	0.44053918607018616	0.9674183067297026	0.6052168671734931
sniffles	16x	0.3402825286202406	23991.68181818182	22513.977272727272	956.0909090909091	28243.772727272728	0.4430295024331796	0.961605877532147	0.6064288055428914
sniffles	8x	0.3315993109368149	23490.5	22060.75	1436.6363636363637	27636.454545454544	0.4433944671257519	0.9422779896516315	0.6028600483672606
cutesv	32x	0.3417785064816178	22546.255319148935	21116.85106382979	914.5531914893617	25862.617021276597	0.448933846578558	0.9610287830608673	0.6117909802889496
cutesv	16x	0.33704353354337147	22406.954545454544	20966.159090909092	1145.0227272727273	25418.68181818182	0.4514371562024252	0.9513365821804866	0.612137129786059
cutesv	8x	0.32108373347465347	21924.545454545456	20474.045454545456	1588.0681818181818	24600.045454545456	0.4536864608852151	0.9324549965361716	0.6101965195480422
