REF	HET	HOM	NON	UNK	program	sample	technology	coverage	experiment
0	19237	5374	0	0	baseline	HG00733	r9	32x	truth
4959	13666	5824	786	0	kanpig	HG00733	r9	32x	ts
395	14235	10370	234	0	svjedi	HG00733	r9	32x	ts
2339	11364	11392	139	0	sniffles	HG00733	r9	32x	ts
6282	10752	8200	105	0	cutesv	HG00733	r9	32x	ts
2766	10431	6029	147	0	kanpig	HG00733	r9	32x	ds
348	10807	8090	128	0	svjedi	HG00733	r9	32x	ds
1045	10544	7740	44	0	sniffles	HG00733	r9	32x	ds
2302	10236	6835	0	0	cutesv	HG00733	r9	32x	ds
625	11543	7709	0	0	orig	HG00733	r9	32x	ds
0	19237	5374	0	0	baseline	HG00733	r10	8x	truth
4457	13220	6666	892	0	kanpig	HG00733	r10	8x	ts
968	12894	10722	650	0	svjedi	HG00733	r10	8x	ts
2914	11300	10836	184	0	sniffles	HG00733	r10	8x	ts
6872	9113	9249	105	0	cutesv	HG00733	r10	8x	ts
1897	10526	7115	203	0	kanpig	HG00733	r10	8x	ds
801	10094	8677	169	0	svjedi	HG00733	r10	8x	ds
1949	9899	7840	53	0	sniffles	HG00733	r10	8x	ds
3426	8500	7815	0	0	cutesv	HG00733	r10	8x	ds
625	11543	7709	0	0	orig	HG00733	r10	8x	ds
0	19237	5374	0	0	baseline	HG00733	r9	8x	truth
5298	13074	6027	836	0	kanpig	HG00733	r9	8x	ts
807	13409	10521	497	0	svjedi	HG00733	r9	8x	ts
3129	11151	10798	156	0	sniffles	HG00733	r9	8x	ts
7058	9063	9113	105	0	cutesv	HG00733	r9	8x	ts
2981	9950	6273	169	0	kanpig	HG00733	r9	8x	ds
653	10290	8267	163	0	svjedi	HG00733	r9	8x	ds
1994	9609	7726	44	0	sniffles	HG00733	r9	8x	ds
3191	8551	7631	0	0	cutesv	HG00733	r9	8x	ds
625	11543	7709	0	0	orig	HG00733	r9	8x	ds
0	24239	4491	0	0	baseline	HG02723	r10	16x	truth
4667	17726	6155	1046	0	kanpig	HG02723	r10	16x	ts
621	17611	10924	437	0	svjedi	HG02723	r10	16x	ts
2931	14875	11645	142	0	sniffles	HG02723	r10	16x	ts
7541	13289	8763	147	0	cutesv	HG02723	r10	16x	ts
1623	14131	6828	209	0	kanpig	HG02723	r10	16x	ds
546	13596	8526	123	0	svjedi	HG02723	r10	16x	ds
1588	13490	7673	40	0	sniffles	HG02723	r10	16x	ds
3437	12275	7079	0	0	cutesv	HG02723	r10	16x	ds
618	14686	7673	0	0	orig	HG02723	r10	16x	ds
0	24239	4491	0	0	baseline	HG02723	r9	16x	truth
5693	17172	5692	1037	0	kanpig	HG02723	r9	16x	ts
479	18103	10713	298	0	svjedi	HG02723	r9	16x	ts
3038	14564	11863	128	0	sniffles	HG02723	r9	16x	ts
7738	13112	8743	147	0	cutesv	HG02723	r9	16x	ts
3153	13090	6154	176	0	kanpig	HG02723	r9	16x	ds
475	13822	8128	148	0	svjedi	HG02723	r9	16x	ds
1642	13220	7681	30	0	sniffles	HG02723	r9	16x	ds
3254	12312	7007	0	0	cutesv	HG02723	r9	16x	ds
618	14686	7673	0	0	orig	HG02723	r9	16x	ds
0	24239	4491	0	0	baseline	HG02723	r10	32x	truth
4594	18087	5878	1035	0	kanpig	HG02723	r10	32x	ts
568	17738	10931	356	0	svjedi	HG02723	r10	32x	ts
2609	14931	11945	108	0	sniffles	HG02723	r10	32x	ts
7021	14209	8363	147	0	cutesv	HG02723	r10	32x	ts
1503	14585	6497	206	0	kanpig	HG02723	r10	32x	ds
519	13652	8510	110	0	svjedi	HG02723	r10	32x	ds
1171	13860	7713	47	0	sniffles	HG02723	r10	32x	ds
2887	13208	6696	0	0	cutesv	HG02723	r10	32x	ds
618	14686	7673	0	0	orig	HG02723	r10	32x	ds
0	24239	4491	0	0	baseline	HG02723	r9	32x	truth
5741	17339	5493	1021	0	kanpig	HG02723	r9	32x	ts
446	18202	10696	249	0	svjedi	HG02723	r9	32x	ts
2541	14527	12413	112	0	sniffles	HG02723	r9	32x	ts
7198	13940	8455	147	0	cutesv	HG02723	r9	32x	ts
3147	13423	5834	169	0	kanpig	HG02723	r9	32x	ds
448	13814	8175	136	0	svjedi	HG02723	r9	32x	ds
1212	13506	7813	42	0	sniffles	HG02723	r9	32x	ds
2686	13273	6614	0	0	cutesv	HG02723	r9	32x	ds
618	14686	7673	0	0	orig	HG02723	r9	32x	ds
0	24239	4491	0	0	baseline	HG02723	r10	8x	truth
5294	16719	6442	1139	0	kanpig	HG02723	r10	8x	ts
1121	16537	11240	695	0	svjedi	HG02723	r10	8x	ts
3558	14140	11733	162	0	sniffles	HG02723	r10	8x	ts
8013	11674	9906	147	0	cutesv	HG02723	r10	8x	ts
2220	13279	7049	243	0	kanpig	HG02723	r10	8x	ds
906	12865	8835	185	0	svjedi	HG02723	r10	8x	ds
2349	12353	8046	43	0	sniffles	HG02723	r10	8x	ds
3996	10851	7944	0	0	cutesv	HG02723	r10	8x	ds
618	14686	7673	0	0	orig	HG02723	r10	8x	ds
0	24239	4491	0	0	baseline	HG02723	r9	8x	truth
6246	16350	5872	1126	0	kanpig	HG02723	r9	8x	ts
1012	16975	11049	557	0	svjedi	HG02723	r9	8x	ts
3643	14043	11736	171	0	sniffles	HG02723	r9	8x	ts
8208	11668	9717	147	0	cutesv	HG02723	r9	8x	ts
3508	12544	6314	207	0	kanpig	HG02723	r9	8x	ds
862	13063	8465	183	0	svjedi	HG02723	r9	8x	ds
2353	12231	7945	44	0	sniffles	HG02723	r9	8x	ds
3784	10975	7814	0	0	cutesv	HG02723	r9	8x	ds
618	14686	7673	0	0	orig	HG02723	r9	8x	ds
