Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
13158	7668	0	0	23401	5564	10374	2313	TOT	svjedi	HG00733	r9	8x	ds
5780	2167	0	0	8972	913	4635	1374	DEL	sniffles	HG00733	r9	8x	ds
6517	6859	0	0	13168	4282	6556	2746	INS	sniffles	HG00733	r9	8x	ds
12297	9026	0	0	22140	5195	11191	4120	TOT	sniffles	HG00733	r9	8x	ds
5303	2775	0	0	8368	892	4757	2139	DEL	cutesv	HG00733	r9	8x	ds
6227	7083	0	0	12706	4164	6597	3153	INS	cutesv	HG00733	r9	8x	ds
11530	9858	0	0	21074	5056	11354	5292	TOT	cutesv	HG00733	r9	8x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r9	8x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r9	8x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r9	8x	ds
8590	1891	26	946	11397	1436	7573	556	DEL	kanpig	HG02723	r10	16x	ts
12956	5110	75	0	16517	3659	14392	1564	INS	kanpig	HG02723	r10	16x	ts
21546	7001	101	946	27914	5095	21965	2120	TOT	kanpig	HG02723	r10	16x	ts
9254	1207	46	945	12540	273	7165	944	DEL	svjedi	HG02723	r10	16x	ts
12027	5751	363	0	19405	488	10389	5274	INS	svjedi	HG02723	r10	16x	ts
21281	6958	409	945	31945	761	17554	6218	TOT	svjedi	HG02723	r10	16x	ts
8189	2286	32	945	11741	1085	6843	1281	DEL	sniffles	HG02723	r10	16x	ts
10067	7968	106	0	17968	2170	10031	5901	INS	sniffles	HG02723	r10	16x	ts
18256	10254	138	945	29709	3255	16874	7182	TOT	sniffles	HG02723	r10	16x	ts
7185	3322	0	945	10119	2751	7331	813	DEL	cutesv	HG02723	r10	16x	ts
9076	8918	147	147	14928	5188	11817	4055	INS	cutesv	HG02723	r10	16x	ts
16261	12240	147	1092	25047	7939	19148	4868	TOT	cutesv	HG02723	r10	16x	ts
7501	2037	0	0	10617	938	6330	1191	DEL	kanpig	HG02723	r10	16x	ds
8885	6277	0	0	14626	3926	9313	2459	INS	kanpig	HG02723	r10	16x	ds
16386	8314	0	0	25243	4864	15643	3650	TOT	kanpig	HG02723	r10	16x	ds
7538	1904	0	0	11004	1276	5899	705	DEL	svjedi	HG02723	r10	16x	ds
8255	6720	0	0	15673	5585	7479	1213	INS	svjedi	HG02723	r10	16x	ds
15793	8624	0	0	26677	6861	13378	1918	TOT	svjedi	HG02723	r10	16x	ds
7475	2034	0	0	10734	1077	6149	1058	DEL	sniffles	HG02723	r10	16x	ds
8274	7163	0	0	15178	5079	8407	2210	INS	sniffles	HG02723	r10	16x	ds
15749	9197	0	0	25912	6156	14556	3268	TOT	sniffles	HG02723	r10	16x	ds
6741	2848	0	0	9751	916	6384	2127	DEL	cutesv	HG02723	r10	16x	ds
7905	7424	0	0	14284	4598	8800	2976	INS	cutesv	HG02723	r10	16x	ds
14646	10272	0	0	24035	5514	15184	5103	TOT	cutesv	HG02723	r10	16x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r10	16x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r10	16x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r10	16x	ds
8342	2137	28	946	11049	1779	7673	457	DEL	kanpig	HG02723	r9	16x	ts
12217	5860	64	0	15604	4585	14521	1444	INS	kanpig	HG02723	r9	16x	ts
20559	7997	92	946	26653	6364	22194	1901	TOT	kanpig	HG02723	r9	16x	ts
9326	1146	35	945	12586	239	7202	917	DEL	svjedi	HG02723	r9	16x	ts
12333	5562	246	0	19580	431	10641	5138	INS	svjedi	HG02723	r9	16x	ts
21659	6708	281	945	32166	670	17843	6055	TOT	svjedi	HG02723	r9	16x	ts
8083	2391	33	945	11657	1166	6826	1299	DEL	sniffles	HG02723	r9	16x	ts
9830	8221	90	0	17939	2219	9826	6118	INS	sniffles	HG02723	r9	16x	ts
17913	10612	123	945	29596	3385	16652	7417	TOT	sniffles	HG02723	r9	16x	ts
7178	3329	0	945	10049	2821	7390	754	DEL	cutesv	HG02723	r9	16x	ts
8887	9107	147	147	14811	5305	11754	4118	INS	cutesv	HG02723	r9	16x	ts
16065	12436	147	1092	24860	8126	19144	4872	TOT	cutesv	HG02723	r9	16x	ts
7293	2292	0	0	10202	742	6564	1662	DEL	kanpig	HG02723	r9	16x	ds
7785	7516	0	0	13084	3601	9766	4151	INS	kanpig	HG02723	r9	16x	ds
15078	9808	0	0	23286	4343	16330	5813	TOT	kanpig	HG02723	r9	16x	ds
7480	1892	0	0	10901	1230	5875	738	DEL	svjedi	HG02723	r9	16x	ds
8315	6580	0	0	15440	5304	7682	1364	INS	svjedi	HG02723	r9	16x	ds
15795	8472	0	0	26341	6534	13557	2102	TOT	svjedi	HG02723	r9	16x	ds
7364	2114	0	0	10580	1032	6168	1176	DEL	sniffles	HG02723	r9	16x	ds
8023	7432	0	0	14993	5154	8357	2406	INS	sniffles	HG02723	r9	16x	ds
15387	9546	0	0	25573	6186	14525	3582	TOT	sniffles	HG02723	r9	16x	ds
6777	2835	0	0	9740	862	6457	2165	DEL	cutesv	HG02723	r9	16x	ds
7839	7449	0	0	14231	4613	8750	2982	INS	cutesv	HG02723	r9	16x	ds
14616	10284	0	0	23971	5475	15207	5147	TOT	cutesv	HG02723	r9	16x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r9	16x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r9	16x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r9	16x	ds
8822	1663	22	946	11473	1365	7739	393	DEL	kanpig	HG02723	r10	32x	ts
13101	4972	68	0	16539	3647	14524	1436	INS	kanpig	HG02723	r10	32x	ts
21923	6635	90	946	28012	5012	22263	1829	TOT	kanpig	HG02723	r10	32x	ts
9302	1170	35	945	12564	262	7200	918	DEL	svjedi	HG02723	r10	32x	ts
12122	5717	302	0	19520	435	10432	5291	INS	svjedi	HG02723	r10	32x	ts
21424	6887	337	945	32084	697	17632	6209	TOT	svjedi	HG02723	r10	32x	ts
8342	2139	26	945	11890	943	6853	1276	DEL	sniffles	HG02723	r10	32x	ts
10096	7965	80	0	18218	1955	9825	6124	INS	sniffles	HG02723	r10	32x	ts
18438	10104	106	945	30108	2898	16678	7400	TOT	sniffles	HG02723	r10	32x	ts
7591	2916	0	945	10386	2484	7473	671	DEL	cutesv	HG02723	r10	32x	ts
9627	8367	147	147	15201	4915	12100	3772	INS	cutesv	HG02723	r10	32x	ts
17218	11283	147	1092	25587	7399	19573	4443	TOT	cutesv	HG02723	r10	32x	ts
7749	1795	0	0	10692	762	6511	1123	DEL	kanpig	HG02723	r10	32x	ds
9072	6103	0	0	14636	3749	9494	2471	INS	kanpig	HG02723	r10	32x	ds
16821	7898	0	0	25328	4511	16005	3594	TOT	kanpig	HG02723	r10	32x	ds
7557	1888	0	0	11012	1263	5913	702	DEL	svjedi	HG02723	r10	32x	ds
8294	6689	0	0	15713	5586	7486	1181	INS	svjedi	HG02723	r10	32x	ds
15851	8577	0	0	26725	6849	13399	1883	TOT	svjedi	HG02723	r10	32x	ds
7706	1852	0	0	10915	1022	6249	930	DEL	sniffles	HG02723	r10	32x	ds
8492	7036	0	0	15494	5174	8393	1995	INS	sniffles	HG02723	r10	32x	ds
16198	8888	0	0	26409	6196	14642	2925	TOT	sniffles	HG02723	r10	32x	ds
7151	2449	0	0	10025	776	6545	1854	DEL	cutesv	HG02723	r10	32x	ds
8457	6859	0	0	14584	4345	9041	2662	INS	cutesv	HG02723	r10	32x	ds
15608	9308	0	0	24609	5121	15586	4516	TOT	cutesv	HG02723	r10	32x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r10	32x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r10	32x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r10	32x	ds
8586	1898	23	946	11185	1651	7784	348	DEL	kanpig	HG02723	r9	32x	ts
12188	5900	53	0	15452	4751	14635	1338	INS	kanpig	HG02723	r9	32x	ts
20774	7798	76	946	26637	6402	22419	1686	TOT	kanpig	HG02723	r9	32x	ts
9369	1109	29	945	12600	233	7237	886	DEL	svjedi	HG02723	r9	32x	ts
12438	5497	206	0	19679	372	10687	5132	INS	svjedi	HG02723	r9	32x	ts
21807	6606	235	945	32279	605	17924	6018	TOT	svjedi	HG02723	r9	32x	ts
8191	2291	25	945	11809	1025	6784	1346	DEL	sniffles	HG02723	r9	32x	ts
9845	8211	85	0	18363	1806	9429	6514	INS	sniffles	HG02723	r9	32x	ts
18036	10502	110	945	30172	2831	16213	7860	TOT	sniffles	HG02723	r9	32x	ts
7530	2977	0	945	10301	2569	7493	651	DEL	cutesv	HG02723	r9	32x	ts
9354	8640	147	147	15087	5029	11952	3920	INS	cutesv	HG02723	r9	32x	ts
16884	11617	147	1092	25388	7598	19445	4571	TOT	cutesv	HG02723	r9	32x	ts
7530	2080	0	0	10340	635	6688	1557	DEL	kanpig	HG02723	r9	32x	ds
7866	7431	0	0	12933	3371	9995	4295	INS	kanpig	HG02723	r9	32x	ds
15396	9511	0	0	23273	4006	16683	5852	TOT	kanpig	HG02723	r9	32x	ds
7499	1864	0	0	10918	1227	5868	713	DEL	svjedi	HG02723	r9	32x	ds
8334	6571	0	0	15499	5344	7652	1315	INS	svjedi	HG02723	r9	32x	ds
15833	8435	0	0	26417	6571	13520	2028	TOT	svjedi	HG02723	r9	32x	ds
7575	1945	0	0	10781	1021	6216	1022	DEL	sniffles	HG02723	r9	32x	ds
8157	7271	0	0	15256	5282	8201	2117	INS	sniffles	HG02723	r9	32x	ds
15732	9216	0	0	26037	6303	14417	3139	TOT	sniffles	HG02723	r9	32x	ds
7133	2483	0	0	9990	751	6570	1921	DEL	cutesv	HG02723	r9	32x	ds
8409	6846	0	0	14548	4353	8974	2635	INS	cutesv	HG02723	r9	32x	ds
15542	9329	0	0	24538	5104	15544	4556	TOT	cutesv	HG02723	r9	32x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r9	32x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r9	32x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r9	32x	ds
8147	2312	48	946	11108	1699	7396	715	DEL	kanpig	HG02723	r10	8x	ts
12224	5771	146	0	15995	4106	14106	1783	INS	kanpig	HG02723	r10	8x	ts
20371	8083	194	946	27103	5805	21502	2498	TOT	kanpig	HG02723	r10	8x	ts
8840	1588	79	945	12313	465	6943	1135	DEL	svjedi	HG02723	r10	8x	ts
11390	6187	564	0	18908	781	10048	5417	INS	svjedi	HG02723	r10	8x	ts
20230	7775	643	945	31221	1246	16991	6552	TOT	svjedi	HG02723	r10	8x	ts
7513	2951	43	945	11369	1444	6535	1580	DEL	sniffles	HG02723	r10	8x	ts
9705	8322	114	0	17551	2575	10086	5842	INS	sniffles	HG02723	r10	8x	ts
17218	11273	157	945	28920	4019	16621	7422	TOT	sniffles	HG02723	r10	8x	ts
6541	3966	0	945	9886	2984	6920	1224	DEL	cutesv	HG02723	r10	8x	ts
8122	9872	147	147	14674	5442	11119	4753	INS	cutesv	HG02723	r10	8x	ts
14663	13838	147	1092	24560	8426	18039	5977	TOT	cutesv	HG02723	r10	8x	ts
7128	2397	0	0	10328	1028	6225	1469	DEL	kanpig	HG02723	r10	8x	ds
8352	6803	0	0	14253	4088	9151	2818	INS	kanpig	HG02723	r10	8x	ds
15480	9200	0	0	24581	5116	15376	4287	TOT	kanpig	HG02723	r10	8x	ds
7272	2151	0	0	10868	1409	5745	824	DEL	svjedi	HG02723	r10	8x	ds
7914	7051	0	0	15476	5732	7320	1402	INS	svjedi	HG02723	r10	8x	ds
15186	9202	0	0	26344	7141	13065	2226	TOT	svjedi	HG02723	r10	8x	ds
6778	2707	0	0	10318	1358	5844	1450	DEL	sniffles	HG02723	r10	8x	ds
7643	7740	0	0	14590	5127	8304	2745	INS	sniffles	HG02723	r10	8x	ds
14421	10447	0	0	24908	6485	14148	4195	TOT	sniffles	HG02723	r10	8x	ds
6142	3466	0	0	9501	1268	6050	2397	DEL	cutesv	HG02723	r10	8x	ds
7130	8207	0	0	13970	5061	8345	3298	INS	cutesv	HG02723	r10	8x	ds
13272	11673	0	0	23471	6329	14395	5695	TOT	cutesv	HG02723	r10	8x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r10	8x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r10	8x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r10	8x	ds
7969	2490	48	946	10816	1988	7511	603	DEL	kanpig	HG02723	r9	8x	ts
11506	6502	133	0	15058	5056	14287	1615	INS	kanpig	HG02723	r9	8x	ts
19475	8992	181	946	25874	7044	21798	2218	TOT	kanpig	HG02723	r9	8x	ts
8954	1487	66	945	12365	425	7020	1072	DEL	svjedi	HG02723	r9	8x	ts
11662	6022	457	0	19063	731	10272	5302	INS	svjedi	HG02723	r9	8x	ts
20616	7509	523	945	31428	1156	17292	6374	TOT	svjedi	HG02723	r9	8x	ts
7578	2880	49	945	11324	1480	6631	1481	DEL	sniffles	HG02723	r9	8x	ts
9564	8460	117	0	17515	2609	9970	5954	INS	sniffles	HG02723	r9	8x	ts
17142	11340	166	945	28839	4089	16601	7435	TOT	sniffles	HG02723	r9	8x	ts
6611	3896	0	945	9822	3048	7048	1096	DEL	cutesv	HG02723	r9	8x	ts
7975	10019	147	147	14533	5583	11112	4760	INS	cutesv	HG02723	r9	8x	ts
14586	13915	147	1092	24355	8631	18160	5856	TOT	cutesv	HG02723	r9	8x	ts
6900	2690	0	0	9951	886	6421	1922	DEL	kanpig	HG02723	r9	8x	ds
7437	7839	0	0	12878	3732	9618	4324	INS	kanpig	HG02723	r9	8x	ds
14337	10529	0	0	22829	4618	16039	6246	TOT	kanpig	HG02723	r9	8x	ds
7208	2174	0	0	10757	1360	5750	897	DEL	svjedi	HG02723	r9	8x	ds
7962	6938	0	0	15258	5479	7513	1550	INS	svjedi	HG02723	r9	8x	ds
15170	9112	0	0	26015	6839	13263	2447	TOT	svjedi	HG02723	r9	8x	ds
6780	2633	0	0	10216	1264	5878	1468	DEL	sniffles	HG02723	r9	8x	ds
7427	7925	0	0	14400	5165	8252	2887	INS	sniffles	HG02723	r9	8x	ds
14207	10558	0	0	24616	6429	14130	4355	TOT	sniffles	HG02723	r9	8x	ds
6192	3398	0	0	9470	1174	6127	2409	DEL	cutesv	HG02723	r9	8x	ds
7041	8205	0	0	13876	5059	8265	3292	INS	cutesv	HG02723	r9	8x	ds
13233	11603	0	0	23346	6233	14392	5701	TOT	cutesv	HG02723	r9	8x	ds
7917	1563	0	0	11096	974	6236	654	DEL	orig	HG02723	r9	8x	ds
9059	6166	0	0	16022	5099	8192	1137	INS	orig	HG02723	r9	8x	ds
16976	7729	0	0	27118	6073	14428	1791	TOT	orig	HG02723	r9	8x	ds
