TP-base	TP-comp	FP	FN	precision	recall	f1	base cnt	comp cnt	gt_concordance	Concordant	Discordant	Missing	Present FP	Present TP	gt_accuracy	as_TP	as_TN	as_FP	as_FN	as_filtered	as_missing	program	sample	technology	coverage	experiment
19908	17679	577	1346	0.9683939526730938	0.9366707443304789	0.9522682204779109	21254	18256	0.7991893076248905	14590	3666	0	577	17679	0.825272922676622	24412	11788	5832	1630	0	0	orig	HG002	r10	8x	ds
16712	15149	525	4732	0.9665050401939518	0.7793322141391531	0.8628851413057176	21444	15674	0.7936072476713028	12439	3235	0	525	15149	0.8211103043105156	20509	13388	4327	5714	0	0	kanpig	HG002	r9	8x	ds
19076	16800	726	1809	0.9585758301951387	0.9133828106296384	0.9354337931307207	20885	17526	0.7554490471299783	13240	4286	0	726	16800	0.7880952380952381	23397	11113	6514	2198	0	0	svjedi	HG002	r9	8x	ds
17995	15915	611	3419	0.9630279559482028	0.8403380965723358	0.8975094971055447	21414	16526	0.7491831054096575	12381	4145	0	611	15915	0.7779453345900095	22131	11913	5957	4049	0	0	sniffles	HG002	r9	8x	ds
17042	15072	504	4377	0.9676425269645609	0.7956487230963164	0.8732573713689841	21419	15576	0.7497431946584489	11678	3898	0	504	15072	0.7748142250530785	21099	11934	5687	5126	0	0	cutesv	HG002	r9	8x	ds
19908	17679	577	1346	0.9683939526730938	0.9366707443304789	0.9522682204779109	21254	18256	0.7991893076248905	14590	3666	0	577	17679	0.825272922676622	24412	11788	5832	1630	0	0	orig	HG002	r9	8x	ds
18434	16715	563	2723	0.9674152100937609	0.8712955522994753	0.916843026126029	21157	17278	0.8200601921518694	14169	3109	0	563	16715	0.8476817230032905	22880	12710	4623	3227	0	0	kanpig	HG00733	r10	16x	ds
19462	17189	686	1504	0.9616223776223777	0.9282648096918821	0.9446492037735149	20966	17875	0.7672167832167832	13714	4161	0	686	17189	0.7978358252370702	24050	10979	6434	1841	0	0	svjedi	HG00733	r10	16x	ds
18872	16762	588	2422	0.9661095100864553	0.886259040105194	0.9244632089625303	21294	17350	0.7889337175792507	13688	3662	0	588	16762	0.8166089965397924	23334	11931	5577	2922	0	0	sniffles	HG00733	r10	16x	ds
17522	15562	448	3767	0.9720174890693317	0.8230541594250552	0.8913549919675123	21289	16010	0.7916926920674578	12675	3335	0	448	15562	0.8144839994859273	21790	12073	5127	4484	0	0	cutesv	HG00733	r10	16x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r10	16x	ds
16791	15229	524	4487	0.9667364946359424	0.7891249177554281	0.8689476873710333	21278	15753	0.8137497619501047	12819	2934	0	524	15229	0.8417492941099218	20860	13202	4149	5393	0	0	kanpig	HG00733	r9	16x	ds
19172	16904	705	1634	0.9599636549491737	0.9214649620301836	0.9403204191485964	20806	17609	0.7721619626327446	13597	4012	0	705	16904	0.8043658305726455	23642	11123	6202	2055	0	0	svjedi	HG00733	r9	16x	ds
18555	16384	596	2778	0.9648998822143698	0.869779215300239	0.914873738445723	21333	16980	0.7799764428739694	13244	3736	0	596	16384	0.808349609375	22951	11858	5704	3345	0	0	sniffles	HG00733	r9	16x	ds
17341	15382	494	4014	0.9688838498362308	0.8120346523062515	0.883552233502441	21355	15876	0.7915091962711011	12566	3310	0	494	15382	0.8169288779092446	21583	12269	5106	4740	0	0	cutesv	HG00733	r9	16x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r9	16x	ds
18475	16778	588	2634	0.966140734769089	0.8752191008574541	0.9184351790736681	21109	17366	0.83531037659795	14506	2860	0	588	16778	0.8645845750387412	22938	12964	4368	3124	0	0	kanpig	HG00733	r10	32x	ds
19487	17204	687	1470	0.9616008048739589	0.9298563725724102	0.9454622044258916	20957	17891	0.767872114470963	13738	4153	0	687	17204	0.7985352243664264	24087	10957	6444	1800	0	0	svjedi	HG00733	r10	32x	ds
19199	17006	585	2230	0.966744357910295	0.8959354146250408	0.9299940010212872	21429	17591	0.7971690068785174	14023	3568	0	585	17006	0.8245913207103376	23721	11988	5632	2687	0	0	sniffles	HG00733	r10	32x	ds
17894	15933	460	3450	0.9719392423595437	0.8383620689655172	0.9002225088561634	21344	16393	0.8173610687488562	13399	2994	0	460	15933	0.8409590158789932	22180	12497	4786	4145	0	0	cutesv	HG00733	r10	32x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r10	32x	ds
16698	15170	538	4599	0.9657499363381716	0.7840540921256515	0.8654685636091344	21297	15708	0.8290679908326967	13023	2685	0	538	15170	0.858470665787739	20776	13526	3877	5491	0	0	kanpig	HG00733	r9	32x	ds
19201	16917	715	1566	0.9594487295825771	0.9245919006115472	0.9416978702127949	20767	17632	0.7730830308529946	13631	4001	0	715	16917	0.8057575220192705	23702	11069	6247	1946	0	0	svjedi	HG00733	r9	32x	ds
18915	16671	601	2509	0.965203798054655	0.8828883495145631	0.9222128770261929	21424	17272	0.7847383047707271	13554	3718	0	601	16671	0.8130286125607342	23377	11832	5820	3021	0	0	sniffles	HG00733	r9	32x	ds
17773	15778	499	3582	0.9693432450697302	0.8322641067665653	0.8955886966001555	21355	16277	0.8142163789396081	13253	3024	0	499	15778	0.8399670427177082	22054	12540	4862	4252	0	0	cutesv	HG00733	r9	32x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r9	32x	ds
17881	16207	528	3278	0.9684493576337018	0.8450777446949289	0.9025671554061349	21159	16735	0.798087839856588	13356	3379	0	528	16207	0.8240883568828284	22206	12490	4779	3899	0	0	kanpig	HG00733	r10	8x	ds
19214	16926	668	1743	0.9620325110833239	0.9168296989072864	0.9388873465925449	20957	17594	0.7513925201773332	13220	4374	0	668	16926	0.7810469100791682	23790	10698	6660	2102	0	0	svjedi	HG00733	r10	8x	ds
18180	16157	557	3036	0.9666746440110088	0.8569004524886877	0.9084834964596287	21216	16714	0.7491324638028001	12521	4193	0	557	16157	0.7749582224422851	22465	11492	5876	3713	0	0	sniffles	HG00733	r10	8x	ds
17025	15092	460	4260	0.9704218106995884	0.7998590556730092	0.8769237558344537	21285	15552	0.7442129629629629	11574	3978	0	460	15092	0.7668963689371853	21248	11470	5748	5024	0	0	cutesv	HG00733	r10	8x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r10	8x	ds
16501	14964	488	4794	0.9684183277245664	0.7748767316271425	0.8609039813536707	21295	15452	0.7920010354646647	12238	3214	0	488	14964	0.8178294573643411	20418	13069	4231	5848	0	0	kanpig	HG00733	r9	8x	ds
18934	16672	689	1892	0.9603133460054144	0.909152021511572	0.9340326223480374	20826	17361	0.7578480502275214	13157	4204	0	689	16672	0.7891674664107485	23401	10923	6393	2313	0	0	svjedi	HG00733	r9	8x	ds
17876	15807	566	3447	0.9654308923227264	0.8383435726680111	0.8974101797566543	21323	16373	0.7511146399560251	12298	4075	0	566	15807	0.7780097425191371	22140	11688	5830	4120	0	0	sniffles	HG00733	r9	8x	ds
16879	14953	483	4509	0.9687095102358124	0.7891808490742472	0.8697777876138351	21388	15436	0.7469551697330915	11530	3906	0	483	14953	0.7710827258744065	21074	11743	5633	5292	0	0	cutesv	HG00733	r9	8x	ds
19673	17515	512	1453	0.9715981583180784	0.9312221906655306	0.9509818054225042	21126	18027	0.8096743773229045	14596	3431	0	512	17515	0.833342848986583	24277	11718	5464	1817	0	0	orig	HG00733	r9	8x	ds
21411	19335	604	3289	0.9697076082050253	0.8668421052631579	0.9153940984246687	24700	19939	0.8218065098550579	16386	3553	0	604	19335	0.847478665632273	25243	16198	5517	3650	0	0	kanpig	HG02723	r10	16x	ds
22752	20000	740	1665	0.9643201542912246	0.9318098046443052	0.9477862741951689	24417	20740	0.7615236258437801	15794	4946	0	740	20000	0.7897	26677	13993	7726	1918	0	0	svjedi	HG02723	r10	16x	ds
22069	19454	630	2877	0.9686317466640112	0.8846708891205003	0.9247494629379358	24946	20084	0.784106751643099	15748	4336	0	630	19454	0.8094993317569652	25912	15131	6841	3268	0	0	sniffles	HG02723	r10	16x	ds
20368	18035	489	4550	0.9736018138630965	0.817401075527731	0.888689989839299	24918	18524	0.7906499676095876	14646	3878	0	489	18035	0.8120876074299972	24035	15602	6074	5103	0	0	cutesv	HG02723	r10	16x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r10	16x	ds
19742	17843	528	5144	0.9712590495890262	0.7932974363095716	0.8733042214163759	24886	18371	0.8207500952588318	15078	3293	0	528	17843	0.8450372695174578	23286	16809	4920	5813	0	0	kanpig	HG02723	r9	16x	ds
22476	19760	754	1791	0.9632446134347274	0.9261960687353196	0.9443571133115091	24267	20514	0.7698644827922394	15793	4721	0	754	19760	0.7992408906882591	26341	14175	7424	2102	0	0	svjedi	HG02723	r9	16x	ds
21773	19150	614	3160	0.9689334142886056	0.8732603377050495	0.9186125179934804	24933	19764	0.7785367334547663	15387	4377	0	614	19150	0.8034986945169713	25573	15079	6860	3582	0	0	sniffles	HG02723	r9	16x	ds
20297	17938	509	4603	0.9724074375237166	0.815140562248996	0.8868559003271224	24900	18447	0.7923239551146528	14616	3831	0	509	17938	0.8148065559148177	23971	15638	6062	5147	0	0	cutesv	HG02723	r9	16x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r9	16x	ds
21485	19429	631	3234	0.9685443668993021	0.8691694647841741	0.9161700526859701	24719	20060	0.8385343968095713	16821	3239	0	631	19429	0.865767666889701	25328	16589	5189	3594	0	0	kanpig	HG02723	r10	32x	ds
22789	20028	742	1639	0.9642753972075109	0.9329048632716554	0.9483307689074206	24428	20770	0.763216177178623	15852	4918	0	742	20028	0.7914919113241462	26725	14013	7719	1883	0	0	svjedi	HG02723	r10	32x	ds
22520	19823	625	2566	0.9694346635367762	0.8977118711631986	0.9321957217609663	25086	20448	0.7922046165884195	16199	4249	0	625	19823	0.8171820612419917	26409	15208	6880	2925	0	0	sniffles	HG02723	r10	32x	ds
20909	18566	490	4007	0.9742863140218304	0.8391796436025044	0.9017001265782857	24916	19056	0.8190596137699412	15608	3448	0	490	18566	0.8406765054400517	24609	16003	5684	4516	0	0	cutesv	HG02723	r10	32x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r10	32x	ds
19726	17856	554	5181	0.9699076588810429	0.7919861886216726	0.871963394572195	24907	18410	0.8362846279196089	15396	3014	0	554	17856	0.8622311827956989	23273	17194	4603	5852	0	0	kanpig	HG02723	r9	32x	ds
22520	19779	764	1748	0.9628097162050333	0.9279709906049118	0.9450693915935184	24268	20543	0.7706274643430853	15831	4712	0	764	19779	0.8003943576520552	26417	14143	7476	2028	0	0	svjedi	HG02723	r9	32x	ds
22184	19487	635	2764	0.9684425007454527	0.8892095558762225	0.9271362986517573	24948	20122	0.7817811350760362	15731	4391	0	635	19487	0.8072561194642582	26037	14980	7010	3139	0	0	sniffles	HG02723	r9	32x	ds
20847	18465	520	4024	0.9726099552278115	0.838205138514736	0.9004195569826043	24871	18985	0.8186462997102976	15542	3443	0	520	18465	0.841700514486867	24538	15993	5695	4556	0	0	cutesv	HG02723	r9	32x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r9	32x	ds
20832	18781	560	3848	0.9710459645313065	0.8440842787682334	0.9031248701275156	24680	19341	0.8003205625355463	15479	3862	0	560	18781	0.8241840157606092	24581	15888	5724	4287	0	0	kanpig	HG02723	r10	8x	ds
22420	19674	706	1968	0.9653581943081453	0.9193045760209939	0.9417687020706152	24388	20380	0.7451913640824338	15187	5193	0	706	19674	0.7719324997458574	26344	13642	7976	2226	0	0	svjedi	HG02723	r10	8x	ds
21197	18720	606	3671	0.9686432784849426	0.8523805694064661	0.9068005454434629	24868	19326	0.7461968332815896	14421	4905	0	606	18720	0.7703525641025641	24908	14678	7167	4195	0	0	sniffles	HG02723	r10	8x	ds
19830	17511	478	5115	0.9734282061259659	0.7949488875526157	0.8751817384859484	24945	17989	0.7377286119295124	13271	4718	0	478	17511	0.7578664839243904	23471	14786	6894	5695	0	0	cutesv	HG02723	r10	8x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r10	8x	ds
19406	17509	480	5460	0.9733170270720997	0.7804230676425642	0.8662618393062818	24866	17989	0.7969870476402245	14337	3652	0	480	17509	0.8188360271860187	22829	16479	5138	6246	0	0	kanpig	HG02723	r9	8x	ds
22139	19416	734	2143	0.9635732009925558	0.9117453257557038	0.9369430840655874	24282	20150	0.7527543424317618	15168	4982	0	734	19416	0.7812113720642769	26015	13858	7712	2447	0	0	svjedi	HG02723	r9	8x	ds
20913	18405	626	3852	0.9671063002469654	0.844457904300424	0.9016302679112969	24765	19031	0.7465188376858809	14207	4824	0	626	18405	0.7719098071176311	24616	14684	7127	4355	0	0	sniffles	HG02723	r9	8x	ds
19711	17389	536	5125	0.9700976290097629	0.7936463198582703	0.8730455615861489	24836	17925	0.7382426778242678	13233	4692	0	536	17389	0.760998332279027	23346	14834	6863	5701	0	0	cutesv	HG02723	r9	8x	ds
23171	20509	568	1534	0.9730511932438203	0.9379073062133172	0.9551560891795658	24705	21077	0.805475162499407	16977	4100	0	568	20509	0.8277829245697012	27118	14950	6687	1791	0	0	orig	HG02723	r9	8x	ds
