Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
0	80	0	0	1	1	77	81	8	sniffles	HG002	r9	32x	ds
0	11	0	0	0	0	11	11	9	sniffles	HG002	r9	32x	ds
0	45	0	0	0	0	45	45	10	sniffles	HG002	r9	32x	ds
10939	1599	0	0	15218	133	8026	1699	0	cutesv	HG002	r9	32x	ds
1881	4943	0	0	5873	3816	2718	1241	1	cutesv	HG002	r9	32x	ds
436	669	0	0	684	212	792	522	2	cutesv	HG002	r9	32x	ds
146	362	0	0	249	98	393	276	3	cutesv	HG002	r9	32x	ds
53	184	0	0	79	23	206	166	4	cutesv	HG002	r9	32x	ds
15	103	0	0	22	7	107	100	5	cutesv	HG002	r9	32x	ds
3	48	0	0	7	4	47	44	6	cutesv	HG002	r9	32x	ds
2	33	0	0	2	0	35	33	7	cutesv	HG002	r9	32x	ds
2	19	0	0	2	0	20	20	8	cutesv	HG002	r9	32x	ds
0	15	0	0	0	0	15	15	9	cutesv	HG002	r9	32x	ds
1	24	0	0	1	0	25	24	10	cutesv	HG002	r9	32x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r9	32x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r9	32x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r9	32x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r9	32x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r9	32x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r9	32x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r9	32x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r9	32x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r9	32x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r9	32x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r9	32x	ds
10431	2165	0	0	15198	1784	7685	525	0	kanpig	HG002	r10	8x	ts
4801	2921	0	0	6177	2009	6280	978	1	kanpig	HG002	r10	8x	ts
1257	651	0	0	1596	520	1534	166	2	kanpig	HG002	r10	8x	ts
663	429	0	0	828	312	920	124	3	kanpig	HG002	r10	8x	ts
300	283	0	0	396	210	482	78	4	kanpig	HG002	r10	8x	ts
143	154	0	0	192	113	245	44	5	kanpig	HG002	r10	8x	ts
47	101	0	0	79	70	116	31	6	kanpig	HG002	r10	8x	ts
32	69	0	0	42	59	91	10	7	kanpig	HG002	r10	8x	ts
21	64	0	0	34	54	70	12	8	kanpig	HG002	r10	8x	ts
6	14	0	0	9	11	17	3	9	kanpig	HG002	r10	8x	ts
19	27	0	0	21	25	44	2	10	kanpig	HG002	r10	8x	ts
11598	986	0	0	16511	472	7645	540	0	svjedi	HG002	r10	8x	ts
3302	4147	0	0	7595	320	3147	3836	1	svjedi	HG002	r10	8x	ts
1186	693	0	0	1956	134	1106	562	2	svjedi	HG002	r10	8x	ts
626	437	0	0	1036	75	653	362	3	svjedi	HG002	r10	8x	ts
394	177	0	0	544	50	420	128	4	svjedi	HG002	r10	8x	ts
187	108	0	0	267	36	215	72	5	svjedi	HG002	r10	8x	ts
81	63	0	0	131	14	94	49	6	svjedi	HG002	r10	8x	ts
66	35	0	0	85	16	82	19	7	svjedi	HG002	r10	8x	ts
56	28	0	0	71	16	69	12	8	svjedi	HG002	r10	8x	ts
10	7	0	0	15	2	12	5	9	svjedi	HG002	r10	8x	ts
27	19	0	0	40	6	33	13	10	svjedi	HG002	r10	8x	ts
10240	2361	0	0	15336	1655	7428	783	0	sniffles	HG002	r10	8x	ts
2707	5017	0	0	7333	855	3021	4239	1	sniffles	HG002	r10	8x	ts
985	928	0	0	1639	483	1212	492	2	sniffles	HG002	r10	8x	ts
514	580	0	0	854	290	751	293	3	sniffles	HG002	r10	8x	ts
293	294	0	0	442	168	434	130	4	sniffles	HG002	r10	8x	ts
164	133	0	0	217	88	242	47	5	sniffles	HG002	r10	8x	ts
90	58	0	0	122	27	116	31	6	sniffles	HG002	r10	8x	ts
49	52	0	0	70	31	80	21	7	sniffles	HG002	r10	8x	ts
31	58	0	0	73	19	47	39	8	sniffles	HG002	r10	8x	ts
9	11	0	0	12	8	17	3	9	sniffles	HG002	r10	8x	ts
26	20	0	0	33	13	39	7	10	sniffles	HG002	r10	8x	ts
9630	2992	0	0	14771	2273	7244	956	0	cutesv	HG002	r10	8x	ts
2394	5342	0	0	6093	2109	3763	3507	1	cutesv	HG002	r10	8x	ts
509	1411	0	0	784	1348	1485	223	2	cutesv	HG002	r10	8x	ts
198	901	0	0	314	835	943	106	3	cutesv	HG002	r10	8x	ts
73	513	0	0	92	517	546	17	4	cutesv	HG002	r10	8x	ts
29	267	0	0	38	266	279	9	5	cutesv	HG002	r10	8x	ts
11	137	0	0	13	136	145	2	6	cutesv	HG002	r10	8x	ts
8	93	0	0	9	92	100	1	7	cutesv	HG002	r10	8x	ts
3	91	0	0	3	94	91	0	8	cutesv	HG002	r10	8x	ts
1	18	0	0	1	18	19	0	9	cutesv	HG002	r10	8x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r10	8x	ts
10420	2096	0	0	15157	518	7628	1729	0	kanpig	HG002	r10	8x	ds
2333	4526	0	0	5772	3224	3337	1385	1	kanpig	HG002	r10	8x	ds
544	517	0	0	846	257	723	296	2	kanpig	HG002	r10	8x	ds
165	315	0	0	314	136	326	184	3	kanpig	HG002	r10	8x	ds
73	137	0	0	124	49	156	91	4	kanpig	HG002	r10	8x	ds
35	71	0	0	43	7	94	68	5	kanpig	HG002	r10	8x	ds
7	49	0	0	11	4	52	45	6	kanpig	HG002	r10	8x	ds
3	34	0	0	3	0	37	34	7	kanpig	HG002	r10	8x	ds
2	34	0	0	2	0	35	35	8	kanpig	HG002	r10	8x	ds
0	14	0	0	0	0	14	14	9	kanpig	HG002	r10	8x	ds
1	35	0	0	1	0	36	35	10	kanpig	HG002	r10	8x	ds
11070	1414	0	0	15721	411	7710	1126	0	svjedi	HG002	r10	8x	ds
1576	5280	0	0	6558	4749	1814	591	1	svjedi	HG002	r10	8x	ds
460	579	0	0	947	435	535	161	2	svjedi	HG002	r10	8x	ds
160	254	0	0	355	181	216	76	3	svjedi	HG002	r10	8x	ds
61	84	0	0	134	71	70	15	4	svjedi	HG002	r10	8x	ds
33	41	0	0	48	14	57	29	5	svjedi	HG002	r10	8x	ds
6	14	0	0	15	9	11	5	6	svjedi	HG002	r10	8x	ds
5	0	0	0	5	0	5	0	7	svjedi	HG002	r10	8x	ds
2	9	0	0	2	0	11	9	8	svjedi	HG002	r10	8x	ds
0	0	0	0	0	0	0	0	9	svjedi	HG002	r10	8x	ds
0	1	0	0	1	1	0	0	10	svjedi	HG002	r10	8x	ds
9978	2535	0	0	14937	725	7416	1948	0	sniffles	HG002	r10	8x	ds
1912	4898	0	0	6166	4021	2494	939	1	sniffles	HG002	r10	8x	ds
489	601	0	0	887	347	659	287	2	sniffles	HG002	r10	8x	ds
173	319	0	0	329	143	331	181	3	sniffles	HG002	r10	8x	ds
66	167	0	0	127	58	169	112	4	sniffles	HG002	r10	8x	ds
22	95	0	0	39	16	97	82	5	sniffles	HG002	r10	8x	ds
8	43	0	0	13	5	46	38	6	sniffles	HG002	r10	8x	ds
3	46	0	0	3	0	49	46	7	sniffles	HG002	r10	8x	ds
1	48	0	0	2	1	47	48	8	sniffles	HG002	r10	8x	ds
0	12	0	0	0	0	12	12	9	sniffles	HG002	r10	8x	ds
1	35	0	0	1	0	36	35	10	sniffles	HG002	r10	8x	ds
9480	3068	0	0	14561	932	7231	2372	0	cutesv	HG002	r10	8x	ds
1694	5111	0	0	5712	3836	2657	1405	1	cutesv	HG002	r10	8x	ds
372	710	0	0	666	261	724	513	2	cutesv	HG002	r10	8x	ds
129	379	0	0	247	113	377	279	3	cutesv	HG002	r10	8x	ds
45	183	0	0	72	25	195	164	4	cutesv	HG002	r10	8x	ds
16	101	0	0	26	10	102	96	5	cutesv	HG002	r10	8x	ds
3	46	0	0	7	4	45	42	6	cutesv	HG002	r10	8x	ds
3	31	0	0	3	0	34	31	7	cutesv	HG002	r10	8x	ds
1	36	0	0	1	0	35	38	8	cutesv	HG002	r10	8x	ds
0	15	0	0	0	0	15	15	9	cutesv	HG002	r10	8x	ds
1	24	0	0	1	0	25	24	10	cutesv	HG002	r10	8x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r10	8x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r10	8x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r10	8x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r10	8x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r10	8x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r10	8x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r10	8x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r10	8x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r10	8x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r10	8x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r10	8x	ds
9998	2626	0	0	14670	2352	7754	472	0	kanpig	HG002	r9	8x	ts
4565	3159	0	0	5837	2349	6371	891	1	kanpig	HG002	r9	8x	ts
1099	806	0	0	1422	692	1536	160	2	kanpig	HG002	r9	8x	ts
603	497	0	0	780	370	914	136	3	kanpig	HG002	r9	8x	ts
284	298	0	0	378	226	483	77	4	kanpig	HG002	r9	8x	ts
137	160	0	0	185	120	246	43	5	kanpig	HG002	r9	8x	ts
55	93	0	0	76	73	127	20	6	kanpig	HG002	r9	8x	ts
37	64	0	0	46	55	92	9	7	kanpig	HG002	r9	8x	ts
30	57	0	0	41	49	75	9	8	kanpig	HG002	r9	8x	ts
6	12	0	0	9	9	15	3	9	kanpig	HG002	r9	8x	ts
15	31	0	0	19	27	42	4	10	kanpig	HG002	r9	8x	ts
11660	935	0	0	16534	470	7701	485	0	svjedi	HG002	r9	8x	ts
3453	4064	0	0	7710	271	3254	3799	1	svjedi	HG002	r9	8x	ts
1198	677	0	0	1946	140	1125	539	2	svjedi	HG002	r9	8x	ts
664	414	0	0	1052	76	690	338	3	svjedi	HG002	r9	8x	ts
401	177	0	0	550	50	428	128	4	svjedi	HG002	r9	8x	ts
207	86	0	0	272	29	228	57	5	svjedi	HG002	r9	8x	ts
98	49	0	0	137	11	108	38	6	svjedi	HG002	r9	8x	ts
68	32	0	0	85	15	83	17	7	svjedi	HG002	r9	8x	ts
61	33	0	0	79	18	76	15	8	svjedi	HG002	r9	8x	ts
9	6	0	0	14	1	10	5	9	svjedi	HG002	r9	8x	ts
29	15	0	0	38	6	35	9	10	svjedi	HG002	r9	8x	ts
10301	2303	0	0	15310	1689	7512	697	0	sniffles	HG002	r9	8x	ts
2584	5139	0	0	7255	932	2968	4291	1	sniffles	HG002	r9	8x	ts
922	991	0	0	1573	549	1220	484	2	sniffles	HG002	r9	8x	ts
485	614	0	0	824	325	747	302	3	sniffles	HG002	r9	8x	ts
274	308	0	0	430	174	425	135	4	sniffles	HG002	r9	8x	ts
140	157	0	0	205	100	230	59	5	sniffles	HG002	r9	8x	ts
75	73	0	0	107	42	115	32	6	sniffles	HG002	r9	8x	ts
32	69	0	0	62	39	71	30	7	sniffles	HG002	r9	8x	ts
43	51	0	0	72	25	65	26	8	sniffles	HG002	r9	8x	ts
7	11	0	0	9	9	16	2	9	sniffles	HG002	r9	8x	ts
27	19	0	0	34	12	39	7	10	sniffles	HG002	r9	8x	ts
9654	2968	0	0	14698	2346	7335	865	0	cutesv	HG002	r9	8x	ts
2348	5388	0	0	6055	2147	3749	3521	1	cutesv	HG002	r9	8x	ts
512	1408	0	0	755	1377	1513	195	2	cutesv	HG002	r9	8x	ts
174	925	0	0	282	867	948	101	3	cutesv	HG002	r9	8x	ts
57	529	0	0	83	526	540	23	4	cutesv	HG002	r9	8x	ts
32	264	0	0	37	267	283	5	5	cutesv	HG002	r9	8x	ts
10	138	0	0	12	137	145	2	6	cutesv	HG002	r9	8x	ts
6	95	0	0	6	95	101	0	7	cutesv	HG002	r9	8x	ts
4	90	0	0	5	92	90	1	8	cutesv	HG002	r9	8x	ts
1	18	0	0	1	18	19	0	9	cutesv	HG002	r9	8x	ts
0	46	0	0	0	46	46	0	10	cutesv	HG002	r9	8x	ts
9686	2845	0	0	14213	449	7710	2690	0	kanpig	HG002	r9	8x	ds
2089	4723	0	0	5195	2918	3609	1902	1	kanpig	HG002	r9	8x	ds
443	664	0	0	712	228	781	493	2	kanpig	HG002	r9	8x	ds
133	341	0	0	247	107	355	239	3	kanpig	HG002	r9	8x	ds
58	190	0	0	96	34	206	160	4	kanpig	HG002	r9	8x	ds
23	90	0	0	32	8	101	85	5	kanpig	HG002	r9	8x	ds
3	40	0	0	10	7	36	33	6	kanpig	HG002	r9	8x	ds
1	37	0	0	1	0	38	37	7	kanpig	HG002	r9	8x	ds
1	28	0	0	1	0	29	28	8	kanpig	HG002	r9	8x	ds
0	13	0	0	0	0	13	13	9	kanpig	HG002	r9	8x	ds
2	34	0	0	2	0	36	34	10	kanpig	HG002	r9	8x	ds
11007	1452	0	0	15601	372	7734	1211	0	svjedi	HG002	r9	8x	ds
1558	5182	0	0	6405	4626	1846	603	1	svjedi	HG002	r9	8x	ds
433	599	0	0	900	418	544	202	2	svjedi	HG002	r9	8x	ds
148	241	0	0	318	159	218	83	3	svjedi	HG002	r9	8x	ds
63	82	0	0	118	51	89	32	4	svjedi	HG002	r9	8x	ds
19	48	0	0	37	17	48	32	5	svjedi	HG002	r9	8x	ds
4	12	0	0	11	7	9	5	6	svjedi	HG002	r9	8x	ds
3	12	0	0	3	0	15	12	7	svjedi	HG002	r9	8x	ds
2	14	0	0	2	0	16	14	8	svjedi	HG002	r9	8x	ds
0	4	0	0	0	0	4	4	9	svjedi	HG002	r9	8x	ds
2	0	0	0	2	0	2	0	10	svjedi	HG002	r9	8x	ds
9971	2515	0	0	14823	649	7476	2024	0	sniffles	HG002	r9	8x	ds
1767	4989	0	0	6037	4055	2415	1005	1	sniffles	HG002	r9	8x	ds
429	667	0	0	826	349	661	356	2	sniffles	HG002	r9	8x	ds
138	353	0	0	287	139	336	220	3	sniffles	HG002	r9	8x	ds
54	216	0	0	111	52	207	170	4	sniffles	HG002	r9	8x	ds
18	90	0	0	32	13	91	80	5	sniffles	HG002	r9	8x	ds
5	53	0	0	8	3	55	50	6	sniffles	HG002	r9	8x	ds
0	46	0	0	4	4	42	42	7	sniffles	HG002	r9	8x	ds
0	65	0	0	2	2	61	65	8	sniffles	HG002	r9	8x	ds
0	10	0	0	0	0	10	10	9	sniffles	HG002	r9	8x	ds
1	27	0	0	1	0	28	27	10	sniffles	HG002	r9	8x	ds
9510	3030	0	0	14478	842	7318	2442	0	cutesv	HG002	r9	8x	ds
1613	5166	0	0	5628	3844	2640	1446	1	cutesv	HG002	r9	8x	ds
380	719	0	0	650	235	760	553	2	cutesv	HG002	r9	8x	ds
116	364	0	0	231	110	354	265	3	cutesv	HG002	r9	8x	ds
37	207	0	0	76	36	201	175	4	cutesv	HG002	r9	8x	ds
14	103	0	0	24	10	104	96	5	cutesv	HG002	r9	8x	ds
4	48	0	0	8	4	48	44	6	cutesv	HG002	r9	8x	ds
2	41	0	0	2	0	43	41	7	cutesv	HG002	r9	8x	ds
1	32	0	0	1	0	32	33	8	cutesv	HG002	r9	8x	ds
0	13	0	0	0	0	13	13	9	cutesv	HG002	r9	8x	ds
1	18	0	0	1	0	19	18	10	cutesv	HG002	r9	8x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r9	8x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r9	8x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r9	8x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r9	8x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r9	8x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r9	8x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r9	8x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r9	8x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r9	8x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r9	8x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r9	8x	ds
10956	1707	0	0	15793	1465	7649	419	0	kanpig	HG00733	r10	16x	ts
4884	2602	0	0	6178	1753	6150	891	1	kanpig	HG00733	r10	16x	ts
1328	584	0	0	1633	457	1588	146	2	kanpig	HG00733	r10	16x	ts
752	410	0	0	920	315	979	110	3	kanpig	HG00733	r10	16x	ts
276	201	0	0	363	150	385	56	4	kanpig	HG00733	r10	16x	ts
152	147	0	0	195	108	256	39	5	kanpig	HG00733	r10	16x	ts
87	107	0	0	110	89	170	19	6	kanpig	HG00733	r10	16x	ts
57	71	0	0	70	59	115	12	7	kanpig	HG00733	r10	16x	ts
13	14	0	0	16	13	24	1	8	kanpig	HG00733	r10	16x	ts
11	24	0	0	18	17	28	7	9	kanpig	HG00733	r10	16x	ts
10	38	0	0	14	34	44	4	10	kanpig	HG00733	r10	16x	ts
11996	637	0	0	16906	330	7690	340	0	svjedi	HG00733	r10	16x	ts
3445	3880	0	0	7559	215	3201	3675	1	svjedi	HG00733	r10	16x	ts
1316	575	0	0	1971	99	1235	477	2	svjedi	HG00733	r10	16x	ts
738	410	0	0	1141	80	743	332	3	svjedi	HG00733	r10	16x	ts
312	158	0	0	465	41	316	118	4	svjedi	HG00733	r10	16x	ts
195	100	0	0	274	25	216	75	5	svjedi	HG00733	r10	16x	ts
126	60	0	0	173	18	138	43	6	svjedi	HG00733	r10	16x	ts
84	44	0	0	115	14	97	30	7	svjedi	HG00733	r10	16x	ts
24	3	0	0	28	1	23	2	8	svjedi	HG00733	r10	16x	ts
18	16	0	0	32	2	20	14	9	svjedi	HG00733	r10	16x	ts
38	10	0	0	40	8	46	2	10	svjedi	HG00733	r10	16x	ts
11223	1422	0	0	16110	1124	7649	407	0	sniffles	HG00733	r10	16x	ts
2592	4896	0	0	7199	738	2820	4219	1	sniffles	HG00733	r10	16x	ts
1019	895	0	0	1647	445	1253	483	2	sniffles	HG00733	r10	16x	ts
551	606	0	0	910	320	783	301	3	sniffles	HG00733	r10	16x	ts
214	263	0	0	376	137	311	130	4	sniffles	HG00733	r10	16x	ts
146	152	0	0	207	95	237	57	5	sniffles	HG00733	r10	16x	ts
78	114	0	0	122	75	148	39	6	sniffles	HG00733	r10	16x	ts
67	60	0	0	83	45	111	15	7	sniffles	HG00733	r10	16x	ts
17	10	0	0	20	9	23	2	8	sniffles	HG00733	r10	16x	ts
17	18	0	0	23	12	29	6	9	sniffles	HG00733	r10	16x	ts
23	25	0	0	34	14	37	11	10	sniffles	HG00733	r10	16x	ts
10425	2224	0	0	15258	2003	7545	492	0	cutesv	HG00733	r10	16x	ts
2671	4841	0	0	6001	1965	3910	3148	1	cutesv	HG00733	r10	16x	ts
554	1357	0	0	817	1273	1517	215	2	cutesv	HG00733	r10	16x	ts
224	946	0	0	303	940	1022	75	3	cutesv	HG00733	r10	16x	ts
51	426	0	0	67	446	427	14	4	cutesv	HG00733	r10	16x	ts
42	257	0	0	53	250	286	9	5	cutesv	HG00733	r10	16x	ts
15	178	0	0	16	182	188	0	6	cutesv	HG00733	r10	16x	ts
8	120	0	0	8	121	127	0	7	cutesv	HG00733	r10	16x	ts
0	27	0	0	0	29	25	0	8	cutesv	HG00733	r10	16x	ts
3	32	0	0	3	32	35	0	9	cutesv	HG00733	r10	16x	ts
1	47	0	0	1	47	48	0	10	cutesv	HG00733	r10	16x	ts
10974	1554	0	0	15789	410	7556	1301	0	kanpig	HG00733	r10	16x	ds
2310	4337	0	0	5706	3179	3194	1215	1	kanpig	HG00733	r10	16x	ds
559	516	0	0	867	250	749	284	2	kanpig	HG00733	r10	16x	ds
216	258	0	0	344	114	335	155	3	kanpig	HG00733	r10	16x	ds
62	117	0	0	94	28	143	93	4	kanpig	HG00733	r10	16x	ds
22	65	0	0	45	21	64	44	5	kanpig	HG00733	r10	16x	ds
11	76	0	0	18	6	79	71	6	kanpig	HG00733	r10	16x	ds
9	34	0	0	10	1	42	33	7	kanpig	HG00733	r10	16x	ds
2	6	0	0	2	0	7	7	8	kanpig	HG00733	r10	16x	ds
3	9	0	0	4	1	11	8	9	kanpig	HG00733	r10	16x	ds
0	17	0	0	1	1	16	16	10	kanpig	HG00733	r10	16x	ds
11438	1071	0	0	16103	237	7710	968	0	svjedi	HG00733	r10	16x	ds
1517	5110	0	0	6354	4609	1750	541	1	svjedi	HG00733	r10	16x	ds
480	584	0	0	990	448	546	144	2	svjedi	HG00733	r10	16x	ds
175	270	0	0	386	197	233	74	3	svjedi	HG00733	r10	16x	ds
54	105	0	0	118	60	93	47	4	svjedi	HG00733	r10	16x	ds
26	42	0	0	56	28	38	14	5	svjedi	HG00733	r10	16x	ds
15	41	0	0	26	10	44	32	6	svjedi	HG00733	r10	16x	ds
7	15	0	0	12	5	17	10	7	svjedi	HG00733	r10	16x	ds
2	1	0	0	2	0	3	1	8	svjedi	HG00733	r10	16x	ds
1	2	0	0	3	2	1	0	9	svjedi	HG00733	r10	16x	ds
0	10	0	0	0	0	10	10	10	svjedi	HG00733	r10	16x	ds
10971	1548	0	0	15739	357	7602	1340	0	sniffles	HG00733	r10	16x	ds
1879	4757	0	0	6112	4010	2349	801	1	sniffles	HG00733	r10	16x	ds
522	621	0	0	935	347	709	295	2	sniffles	HG00733	r10	16x	ds
203	310	0	0	361	144	345	176	3	sniffles	HG00733	r10	16x	ds
57	128	0	0	104	44	132	90	4	sniffles	HG00733	r10	16x	ds
31	80	0	0	50	17	91	64	5	sniffles	HG00733	r10	16x	ds
13	65	0	0	20	6	70	60	6	sniffles	HG00733	r10	16x	ds
8	41	0	0	9	1	48	40	7	sniffles	HG00733	r10	16x	ds
2	6	0	0	2	0	8	6	8	sniffles	HG00733	r10	16x	ds
2	11	0	0	2	0	13	11	9	sniffles	HG00733	r10	16x	ds
0	39	0	0	0	0	39	39	10	sniffles	HG00733	r10	16x	ds
10337	2227	0	0	15106	470	7522	2030	0	cutesv	HG00733	r10	16x	ds
1718	4896	0	0	5623	3736	2599	1270	1	cutesv	HG00733	r10	16x	ds
408	714	0	0	701	251	783	509	2	cutesv	HG00733	r10	16x	ds
143	356	0	0	244	97	371	286	3	cutesv	HG00733	r10	16x	ds
38	178	0	0	65	25	182	160	4	cutesv	HG00733	r10	16x	ds
17	74	0	0	36	17	72	57	5	cutesv	HG00733	r10	16x	ds
5	93	0	0	6	1	94	95	6	cutesv	HG00733	r10	16x	ds
7	32	0	0	7	0	39	32	7	cutesv	HG00733	r10	16x	ds
1	10	0	0	1	0	10	11	8	cutesv	HG00733	r10	16x	ds
0	15	0	0	0	0	15	15	9	cutesv	HG00733	r10	16x	ds
1	19	0	0	1	0	20	19	10	cutesv	HG00733	r10	16x	ds
11552	1002	0	0	16194	215	7771	928	0	orig	HG00733	r10	16x	ds
2034	4650	0	0	6399	4114	2288	567	1	orig	HG00733	r10	16x	ds
614	492	0	0	1044	355	668	145	2	orig	HG00733	r10	16x	ds
249	219	0	0	417	147	299	73	3	orig	HG00733	r10	16x	ds
68	67	0	0	112	36	91	31	4	orig	HG00733	r10	16x	ds
44	42	0	0	69	22	61	20	5	orig	HG00733	r10	16x	ds
19	22	0	0	23	3	36	20	6	orig	HG00733	r10	16x	ds
12	10	0	0	13	1	21	9	7	orig	HG00733	r10	16x	ds
2	5	0	0	2	0	7	5	8	orig	HG00733	r10	16x	ds
2	4	0	0	3	1	5	3	9	orig	HG00733	r10	16x	ds
0	17	0	0	1	1	16	16	10	orig	HG00733	r10	16x	ds
10523	2136	0	0	15181	2075	7736	326	0	kanpig	HG00733	r9	16x	ts
4504	2990	0	0	5774	2171	6158	885	1	kanpig	HG00733	r9	16x	ts
1210	699	0	0	1500	587	1596	135	2	kanpig	HG00733	r9	16x	ts
691	471	0	0	851	384	988	101	3	kanpig	HG00733	r9	16x	ts
273	204	0	0	355	158	390	51	4	kanpig	HG00733	r9	16x	ts
143	156	0	0	189	114	253	42	5	kanpig	HG00733	r9	16x	ts
78	116	0	0	104	95	164	25	6	kanpig	HG00733	r9	16x	ts
53	75	0	0	69	60	112	15	7	kanpig	HG00733	r9	16x	ts
13	14	0	0	14	15	24	1	8	kanpig	HG00733	r9	16x	ts
10	25	0	0	15	20	30	5	9	kanpig	HG00733	r9	16x	ts
13	35	0	0	16	32	45	3	10	kanpig	HG00733	r9	16x	ts
11983	648	0	0	16866	370	7719	307	0	svjedi	HG00733	r9	16x	ts
3602	3820	0	0	7695	178	3318	3653	1	svjedi	HG00733	r9	16x	ts
1366	528	0	0	2007	66	1253	462	2	svjedi	HG00733	r9	16x	ts
792	360	0	0	1168	57	774	305	3	svjedi	HG00733	r9	16x	ts
336	138	0	0	477	33	332	106	4	svjedi	HG00733	r9	16x	ts
221	74	0	0	288	11	228	63	5	svjedi	HG00733	r9	16x	ts
135	53	0	0	182	11	141	42	6	svjedi	HG00733	r9	16x	ts
95	33	0	0	121	8	102	25	7	svjedi	HG00733	r9	16x	ts
22	5	0	0	27	2	22	3	8	svjedi	HG00733	r9	16x	ts
23	12	0	0	35	0	23	12	9	svjedi	HG00733	r9	16x	ts
38	10	0	0	39	9	47	1	10	svjedi	HG00733	r9	16x	ts
11212	1430	0	0	16046	1187	7700	351	0	sniffles	HG00733	r9	16x	ts
2337	5158	0	0	7107	841	2648	4394	1	sniffles	HG00733	r9	16x	ts
932	983	0	0	1620	474	1195	541	2	sniffles	HG00733	r9	16x	ts
475	687	0	0	903	332	714	375	3	sniffles	HG00733	r9	16x	ts
188	288	0	0	351	161	306	134	4	sniffles	HG00733	r9	16x	ts
108	191	0	0	196	107	211	84	5	sniffles	HG00733	r9	16x	ts
74	120	0	0	139	60	129	60	6	sniffles	HG00733	r9	16x	ts
59	69	0	0	92	37	95	32	7	sniffles	HG00733	r9	16x	ts
15	12	0	0	22	7	19	6	8	sniffles	HG00733	r9	16x	ts
12	23	0	0	20	15	27	8	9	sniffles	HG00733	r9	16x	ts
6	42	0	0	30	18	24	24	10	sniffles	HG00733	r9	16x	ts
10508	2141	0	0	15254	2007	7622	415	0	cutesv	HG00733	r9	16x	ts
2453	5059	0	0	5930	2036	3762	3296	1	cutesv	HG00733	r9	16x	ts
508	1403	0	0	750	1340	1533	199	2	cutesv	HG00733	r9	16x	ts
190	980	0	0	274	969	1019	78	3	cutesv	HG00733	r9	16x	ts
44	433	0	0	63	450	424	17	4	cutesv	HG00733	r9	16x	ts
29	270	0	0	40	263	286	9	5	cutesv	HG00733	r9	16x	ts
6	187	0	0	8	190	186	2	6	cutesv	HG00733	r9	16x	ts
8	120	0	0	8	121	127	0	7	cutesv	HG00733	r9	16x	ts
0	27	0	0	0	29	25	0	8	cutesv	HG00733	r9	16x	ts
1	34	0	0	1	34	35	0	9	cutesv	HG00733	r9	16x	ts
0	48	0	0	0	48	48	0	10	cutesv	HG00733	r9	16x	ts
10131	2433	0	0	14666	316	7685	2461	0	kanpig	HG00733	r9	16x	ds
1970	4650	0	0	5066	2908	3422	1844	1	kanpig	HG00733	r9	16x	ds
458	657	0	0	711	207	829	483	2	kanpig	HG00733	r9	16x	ds
179	323	0	0	279	87	390	248	3	kanpig	HG00733	r9	16x	ds
41	145	0	0	66	23	149	134	4	kanpig	HG00733	r9	16x	ds
23	85	0	0	46	21	85	64	5	kanpig	HG00733	r9	16x	ds
9	77	0	0	14	4	80	74	6	kanpig	HG00733	r9	16x	ds
6	29	0	0	9	3	32	26	7	kanpig	HG00733	r9	16x	ds
