Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
2	42	0	0	3	1	42	42	8	sniffles	HG002	r10	16x	ds
0	14	0	0	0	0	14	14	9	sniffles	HG002	r10	16x	ds
1	35	0	0	1	0	36	35	10	sniffles	HG002	r10	16x	ds
10398	2146	0	0	14971	412	7750	1955	0	cutesv	HG002	r10	16x	ds
1897	4965	0	0	5818	3739	2809	1358	1	cutesv	HG002	r10	16x	ds
422	644	0	0	689	230	742	471	2	cutesv	HG002	r10	16x	ds
139	364	0	0	250	106	379	271	3	cutesv	HG002	r10	16x	ds
53	185	0	0	80	26	205	165	4	cutesv	HG002	r10	16x	ds
16	107	0	0	26	10	108	102	5	cutesv	HG002	r10	16x	ds
4	56	0	0	8	4	56	52	6	cutesv	HG002	r10	16x	ds
3	32	0	0	3	0	35	32	7	cutesv	HG002	r10	16x	ds
1	26	0	0	1	0	25	28	8	cutesv	HG002	r10	16x	ds
0	16	0	0	0	0	16	16	9	cutesv	HG002	r10	16x	ds
0	36	0	0	0	0	36	36	10	cutesv	HG002	r10	16x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r10	16x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r10	16x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r10	16x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r10	16x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r10	16x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r10	16x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r10	16x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r10	16x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r10	16x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r10	16x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r10	16x	ds
10608	2033	0	0	15131	1915	7914	322	0	kanpig	HG002	r9	16x	ts
4666	3078	0	0	5972	2238	6349	929	1	kanpig	HG002	r9	16x	ts
1185	731	0	0	1477	649	1582	124	2	kanpig	HG002	r9	16x	ts
655	445	0	0	818	332	932	118	3	kanpig	HG002	r9	16x	ts
302	286	0	0	387	224	497	68	4	kanpig	HG002	r9	16x	ts
138	159	0	0	185	120	248	41	5	kanpig	HG002	r9	16x	ts
65	83	0	0	82	67	131	16	6	kanpig	HG002	r9	16x	ts
30	71	0	0	41	60	90	11	7	kanpig	HG002	r9	16x	ts
30	64	0	0	41	56	81	10	8	kanpig	HG002	r9	16x	ts
7	13	0	0	10	10	17	3	9	kanpig	HG002	r9	16x	ts
13	33	0	0	18	28	41	5	10	kanpig	HG002	r9	16x	ts
12043	564	0	0	16744	276	7889	305	0	svjedi	HG002	r9	16x	ts
3640	4007	0	0	7903	208	3378	3805	1	svjedi	HG002	r9	16x	ts
1307	590	0	0	2018	90	1186	500	2	svjedi	HG002	r9	16x	ts
741	349	0	0	1102	38	729	311	3	svjedi	HG002	r9	16x	ts
445	140	0	0	581	27	448	114	4	svjedi	HG002	r9	16x	ts
